4000001,90055,m5
4000001,90000,-
4000001,90205,-
4000001,90207,-
4000002,90000,-
4000002,90201,-
4000002,90208,-
4000003,90061,t1
4000003,90000,-
4000003,90208,-
4000003,90203,-
4000004,90000,-
4000004,90208,-
4000004,90205,-
4000005,90000,-
4000005,90207,-
4000005,90201,-
4000006,90000,-
4000006,90204,-
4000006,90206,-
4000007,90101,-
4000007,90100,-
4000007,90207,-
4000007,90203,-
4000008,90056,m6
4000008,90000,-
4000008,90206,-
4000008,90202,-
4000009,90062,t2
4000009,90000,-
4000009,90207,-
4000009,90204,-
4000010,90000,-
4000010,90204,-
4000010,90203,-
4000011,90000,-
4000011,90203,-
4000011,90201,-
4000012,90000,-
4000012,90203,-
4000012,90202,-
4000013,90030,w30
4000013,90000,-
4000013,90208,-
4000013,90207,-
4000014,89999,-
4000014,90203,-
4000014,90208,-
4000015,90000,-
4000015,90202,-
4000015,90204,-
4000016,90052,m2
4000016,90000,-
4000016,90202,-
4000016,90207,-
4000017,90000,-
4000017,90206,-
4000017,90202,-
4000018,90059,m9
4000018,90000,-
4000018,90208,-
4000018,90205,-
4000019,90056,m6
4000019,90000,-
4000019,90202,-
4000019,90207,-
4000020,90063,t3
4000020,90000,-
4000020,90206,-
4000020,90207,-
4000021,90101,-
4000021,90100,-
4000021,90205,-
4000021,90207,-
4000022,90059,m9
4000022,90000,-
4000022,90207,-
4000022,90203,-
4000023,90000,-
4000023,90202,-
4000023,90204,-
4000024,90061,t1
4000024,90000,-
4000024,90207,-
4000024,90203,-
4000025,90013,w13
4000025,90000,-
4000025,90207,-
4000025,90208,-
4000026,90063,t3
4000026,90000,-
4000026,90208,-
4000026,90204,-
4000027,90000,-
4000027,90203,-
4000027,90208,-
4000028,90102,-
4000028,90100,-
4000028,90203,-
4000028,90207,-
4000029,90062,t2
4000029,90000,-
4000029,90207,-
4000029,90204,-
4000030,90063,t3
4000030,90000,-
4000030,90205,-
4000030,90204,-
4000031,90059,m9
4000031,90000,-
4000031,90204,-
4000031,90203,-
4000032,90000,-
4000032,90207,-
4000032,90204,-
4000033,90053,m3
4000033,90000,-
4000033,90205,-
4000033,90202,-
4000034,90000,-
4000034,90205,-
4000034,90207,-
4000035,90056,m6
4000035,90000,-
4000035,90206,-
4000035,90202,-
4000036,90051,m1
4000036,90000,-
4000036,90201,-
4000036,90204,-
4000037,90040,w40
4000037,90000,-
4000037,90208,-
4000037,90204,-
4000038,90000,-
4000038,90208,-
4000038,90205,-
4000039,90033,w33
4000039,90000,-
4000039,90202,-
4000039,90208,-
4000040,90063,t3
4000040,90000,-
4000040,90207,-
4000040,90204,-
4000041,90000,-
4000041,90202,-
4000041,90203,-
4000042,90063,t3
4000042,90000,-
4000042,90201,-
4000042,90206,-
4000043,90051,m1
4000043,90000,-
4000043,90203,-
4000043,90204,-
4000044,90063,t3
4000044,90000,-
4000044,90207,-
4000044,90202,-
4000045,90000,-
4000045,90204,-
4000045,90205,-
4000046,90036,w36
4000046,90000,-
4000046,90206,-
4000046,90204,-
4000047,90000,-
4000047,90208,-
4000047,90206,-
4000048,90000,-
4000048,90201,-
4000048,90207,-
4000049,89999,-
4000049,90204,-
4000049,90207,-
4000050,90024,w24
4000050,90000,-
4000050,90206,-
4000050,90202,-
4000051,90059,m9
4000051,90000,-
4000051,90207,-
4000051,90203,-
4000052,90063,t3
4000052,90000,-
4000052,90208,-
4000052,90206,-
4000053,90061,t1
4000053,90000,-
4000053,90204,-
4000053,90203,-
4000054,90041,w41
4000054,90000,-
4000054,90206,-
4000054,90203,-
4000055,90061,t1
4000055,90000,-
4000055,90204,-
4000055,90202,-
4000056,90103,-
4000056,90100,-
4000056,90203,-
4000056,90202,-
4000057,90051,m1
4000057,90000,-
4000057,90207,-
4000057,90201,-
4000058,90063,t3
4000058,90000,-
4000058,90202,-
4000058,90203,-
4000059,90000,-
4000059,90203,-
4000059,90201,-
4000060,90000,-
4000060,90201,-
4000060,90205,-
4000061,90000,-
4000061,90206,-
4000061,90208,-
4000062,90038,w38
4000062,90000,-
4000062,90201,-
4000062,90204,-
4000063,89999,-
4000063,90203,-
4000063,90201,-
4000064,90062,t2
4000064,90000,-
4000064,90205,-
4000064,90208,-
4000065,90062,t2
4000065,90000,-
4000065,90206,-
4000065,90208,-
4000066,90000,-
4000066,90205,-
4000066,90204,-
4000067,90000,-
4000067,90203,-
4000067,90201,-
4000068,90000,-
4000068,90203,-
4000068,90207,-
4000069,90063,t3
4000069,90000,-
4000069,90203,-
4000069,90206,-
4000070,90000,-
4000070,90205,-
4000070,90206,-
4000071,90063,t3
4000071,90000,-
4000071,90208,-
4000071,90206,-
4000072,90000,-
4000072,90204,-
4000072,90201,-
4000073,90000,-
4000073,90206,-
4000073,90207,-
4000074,90058,m8
4000074,90000,-
4000074,90205,-
4000074,90208,-
4000075,90021,w21
4000075,90000,-
4000075,90206,-
4000075,90201,-
4000076,90000,-
4000076,90205,-
4000076,90202,-
4000077,90103,-
4000077,90100,-
4000077,90204,-
4000077,90206,-
4000078,90000,-
4000078,90206,-
4000078,90201,-
4000079,90000,-
4000079,90203,-
4000079,90205,-
4000080,90000,-
4000080,90208,-
4000080,90206,-
4000081,90000,-
4000081,90204,-
4000081,90208,-
4000082,90028,w28
4000082,90000,-
4000082,90202,-
4000082,90206,-
4000083,90000,-
4000083,90204,-
4000083,90208,-
4000084,90000,-
4000084,90206,-
4000084,90201,-
4000085,90000,-
4000085,90208,-
4000085,90201,-
